1,1.000000000000000,65734.368839718401000,L0,0,-278013.628899998960000,-450294.000000000000000
2,1.000000000000000,65734.368839718401000,L0,0,-212279.260099999610000,-450294.000000000000000
3,2.000000000000000,78804.758489258587000,L10,1,-283014.011399999260000,-460294.000000000000000
4,2.000000000000000,78804.758489258587000,L10,1,-204209.252900000660000,-460294.000000000000000
5,3.000000000000000,76756.476488955319000,L100,2,-221714.788699999450000,-550294.000000000000000
6,3.000000000000000,76756.476488955319000,L100,2,-144958.312199998650000,-550294.000000000000000
7,4.000000000000000,86630.389628887177000,L110,3,-220855.741399999710000,-560294.000000000000000
8,4.000000000000000,86630.389628887177000,L110,3,-134225.351799998430000,-560294.000000000000000
9,5.000000000000000,98576.835831072181000,L120,4,-220659.867499999700000,-570294.000000000000000
10,5.000000000000000,98576.835831072181000,L120,4,-122083.031599998470000,-570294.000000000000000
11,6.000000000000000,113240.333703078330000,L130,5,-220463.993500001730000,-580294.000000000000000
12,6.000000000000000,113240.333703078330000,L130,5,-107223.659800000490000,-580294.000000000000000
13,7.000000000000000,130350.390630993990000,L140,6,-220268.119500000030000,-590294.000000000000000
14,7.000000000000000,130350.390630993990000,L140,6,-89917.728900000453000,-590294.000000000000000
15,8.000000000000000,147462.313025243580000,L150,7,-220071.312899999320000,-600294.000000000000000
16,8.000000000000000,147462.313025243580000,L150,7,-72608.999800000340000,-600294.000000000000000
17,9.000000000000000,164575.168152619150000,L160,8,-219875.438900001350000,-610294.000000000000000
18,9.000000000000000,164575.168152619150000,L160,8,-55300.270700000226000,-610294.000000000000000
19,10.000000000000000,184371.496556378900000,L170,9,-219679.564899999650000,-620294.000000000000000
20,10.000000000000000,184371.496556378900000,L170,9,-35308.068399999291000,-620294.000000000000000
21,11.000000000000000,208175.779311373830000,L180,10,-219483.690999999640000,-630294.000000000000000
22,11.000000000000000,208175.779311373830000,L180,10,-11307.911699999124000,-630294.000000000000000
23,12.000000000000000,237634.290429707620000,L190,11,-228891.237500000750000,-640294.000000000000000
24,12.000000000000000,237634.290429707620000,L190,11,8743.052900001406700,-640294.000000000000000
25,13.000000000000000,89341.844899792224000,L20,12,-286966.934500001370000,-470294.000000000000000
26,13.000000000000000,89341.844899792224000,L20,12,-197625.089600000530000,-470294.000000000000000
27,14.000000000000000,265057.577811874450000,L200,13,-241748.964000001550000,-650294.000000000000000
28,14.000000000000000,265057.577811874450000,L200,13,23308.613800000399000,-650294.000000000000000
29,15.000000000000000,294981.522772703320000,L210,14,-257108.280799999830000,-660294.000000000000000
30,15.000000000000000,294981.522772703320000,L210,14,37873.241900000721000,-660294.000000000000000
31,16.000000000000000,327268.080805886540000,L220,15,-274828.345199998470000,-670294.000000000000000
32,16.000000000000000,327268.080805886540000,L220,15,52439.735599998385000,-670294.000000000000000
33,17.000000000000000,359553.706105869260000,L230,16,-292548.409600000830000,-680294.000000000000000
34,17.000000000000000,359553.706105869260000,L230,16,67005.296500001103000,-680294.000000000000000
35,18.000000000000000,391836.533206444230000,L240,17,-310266.608600001780000,-690294.000000000000000
36,18.000000000000000,391836.533206444230000,L240,17,81569.924600001425000,-690294.000000000000000
37,19.000000000000000,424123.091239597650000,L250,18,-327986.673000000420000,-700294.000000000000000
38,19.000000000000000,424123.091239597650000,L250,18,96136.418200001121000,-700294.000000000000000
39,20.000000000000000,455905.040637891740000,L260,19,-345705.804699998350000,-710294.000000000000000
40,20.000000000000000,455905.040637891740000,L260,19,110199.236000001430000,-710294.000000000000000
41,21.000000000000000,484071.716341670600000,L270,20,-363424.936299998310000,-720294.000000000000000
42,21.000000000000000,484071.716341670600000,L270,20,120646.780000001190000,-720294.000000000000000
43,22.000000000000000,512236.526579044760000,L280,21,-381144.067999999970000,-730294.000000000000000
44,22.000000000000000,512236.526579044760000,L280,21,131092.458599999550000,-730294.000000000000000
45,23.000000000000000,540403.202282864600000,L290,22,-398864.132399998610000,-740294.000000000000000
46,23.000000000000000,540403.202282864600000,L290,22,141539.069899998610000,-740294.000000000000000
47,24.000000000000000,86878.496647145599000,L30,23,-277920.355599999430000,-480294.000000000000000
48,24.000000000000000,86878.496647145599000,L30,23,-191041.859000001100000,-480294.000000000000000
49,25.000000000000000,564917.294965978710000,L300,24,-412931.613800000400000,-750294.000000000000000
50,25.000000000000000,564917.294965978710000,L300,24,151985.681099999700000,-750294.000000000000000
51,26.000000000000000,583311.725443329660000,L310,25,-420880.365699999030000,-760294.000000000000000
52,26.000000000000000,583311.725443329660000,L310,25,162431.359700001780000,-760294.000000000000000
53,27.000000000000000,599826.698620703070000,L320,26,-426947.794900000100000,-770294.000000000000000
54,27.000000000000000,599826.698620703070000,L320,26,172878.903700001540000,-770294.000000000000000
55,28.000000000000000,616339.806331772360000,L330,27,-433015.223999999460000,-780294.000000000000000
56,28.000000000000000,616339.806331772360000,L330,27,183324.582299999890000,-780294.000000000000000
57,29.000000000000000,632853.846776030960000,L340,28,-439082.653200000520000,-790294.000000000000000
58,29.000000000000000,632853.846776030960000,L340,28,193771.193599998950000,-790294.000000000000000
59,30.000000000000000,649366.954487051810000,L350,29,-445150.082299999890000,-800294.000000000000000
60,30.000000000000000,649366.954487051810000,L350,29,204216.872200001030000,-800294.000000000000000
61,31.000000000000000,665881.927664507180000,L360,30,-451217.511500000950000,-810294.000000000000000
62,31.000000000000000,665881.927664507180000,L360,30,214664.416200000790000,-810294.000000000000000
63,32.000000000000000,682395.968108657750000,L370,31,-457284.940600000320000,-820294.000000000000000
64,32.000000000000000,682395.968108657750000,L370,31,225111.027499999850000,-820294.000000000000000
